"A","B","C","D","E","F","G","H","I"
2,14,9,9,58,20,17,36,40
0,2,45,23,38,18,18,40,44
0,0,5,8,7,32,44,18,44
1,9,16,12,12,6,49,83,49
0,5,25,46,9,22,65,46,59
15,9,7,25,7,2,79,23,44
4,24,7,6,30,23,31,45,31
0,0,34,9,35,17,30,37,54
0,3,18,35,17,8,35,53,41
7,18,11,15,28,29,19,16,27
0,3,28,22,45,64,19,25,38
15,4,32,20,36,17,18,23,52
0,14,14,36,18,29,20,55,60
0,3,30,12,44,18,9,20,62
0,3,3,25,12,61,28,47,22
0,16,14,22,44,19,44,9,18
8,9,16,15,18,20,44,45,46
8,14,43,20,24,13,33,26,43
0,7,1,54,1,8,40,42,38
5,8,13,26,26,16,20,32,39
6,12,2,27,22,59,20,33,67
0,3,17,14,11,9,15,63,42
3,4,16,13,4,13,2,18,72
0,10,14,25,22,42,32,27,56
2,24,10,42,30,17,17,50,55
20,20,1,34,14,7,36,58,31
12,1,12,15,35,4,60,36,23
6,18,22,6,25,29,12,16,44
0,28,33,18,21,28,31,52,39
11,21,12,37,22,28,50,45,41
0,13,8,20,33,31,56,51,51
2,12,2,17,24,29,17,30,23
0,1,19,16,10,18,18,32,41
7,4,14,6,8,46,26,15,116
8,9,18,31,16,77,7,29,43
3,24,25,8,2,19,44,38,50
0,27,12,7,51,41,37,59,11
7,7,32,20,13,53,38,57,30
0,4,4,24,27,13,25,34,49
0,11,7,13,4,29,21,41,86
0,23,10,22,34,19,25,36,70
3,9,16,40,44,14,26,38,40
9,10,5,17,1,20,23,22,74
0,6,3,27,38,54,16,49,81
10,5,17,11,18,41,42,76,33
0,10,6,25,25,49,35,34,50
3,13,21,7,7,28,41,56,51
9,31,27,3,30,51,45,22,43
6,2,16,18,51,19,36,56,50
0,6,5,39,6,15,21,30,59
0,4,21,18,13,17,24,11,37
0,0,7,4,4,42,41,26,66
1,18,23,27,26,19,38,15,36
9,7,38,24,15,9,31,38,39
0,14,3,3,29,14,56,36,42
3,9,40,26,3,33,34,37,15
5,6,9,21,4,16,15,68,24
5,5,19,43,27,24,66,43,35
18,2,17,17,59,46,40,7,69
0,19,32,17,2,35,27,54,30
2,2,1,10,3,16,13,40,82
2,10,14,13,42,20,23,31,72
4,2,10,5,19,6,52,23,29
0,9,4,8,48,29,46,37,15
0,9,26,24,43,46,49,40,33
0,2,8,4,20,7,43,51,30
15,4,16,4,16,15,16,29,58
0,3,3,14,3,24,27,40,53
28,5,7,5,24,19,23,44,75
0,0,8,12,3,22,39,62,66
12,22,31,16,41,29,45,31,49
0,11,13,29,14,47,40,47,28
0,19,9,20,10,12,9,32,51
13,13,42,21,23,2,38,46,69
0,1,1,19,23,53,18,65,25
0,0,38,21,27,25,43,12,72
0,2,13,35,20,54,32,24,42
4,5,13,22,45,11,11,12,57
8,13,12,14,3,34,24,33,34
15,5,5,9,33,31,52,23,15
0,24,24,6,21,8,80,38,23
3,3,14,24,26,31,40,5,57
9,15,5,33,21,37,51,62,76
3,4,21,4,47,31,18,7,67
0,8,1,16,24,17,37,49,34
0,17,7,21,27,26,46,55,28
0,5,17,29,21,28,2,13,33
6,1,9,31,29,26,34,52,19
0,2,28,3,34,37,47,35,27
6,3,24,41,17,41,7,67,22
1,44,6,7,12,17,13,42,18
5,5,12,16,5,20,17,18,6
10,7,8,19,32,18,64,75,47
0,20,12,12,24,32,21,48,11
0,35,15,14,12,23,65,32,34
6,8,10,10,35,56,55,15,75
0,0,4,30,44,14,42,34,67
14,5,12,24,6,36,61,11,43
0,18,13,17,23,44,10,45,31
12,3,3,25,57,39,91,32,28
3,19,8,20,27,15,37,33,38
0,20,23,10,16,42,26,30,40
7,11,19,27,14,24,51,29,66
7,19,19,47,30,33,30,28,60
4,2,5,12,46,9,34,30,36
3,6,21,14,24,27,4,48,30
2,3,2,20,34,17,21,36,65
22,2,5,39,18,44,49,39,91
0,1,8,22,22,37,35,34,27
0,10,6,29,23,20,32,7,56
1,1,2,15,19,28,22,56,8
13,8,17,11,17,50,35,24,76
15,4,15,31,22,63,20,33,33
0,15,6,11,8,23,47,23,26
5,1,3,3,17,55,25,16,34
1,22,6,12,41,27,40,11,36
6,5,10,4,43,55,26,23,69
0,20,8,18,6,29,15,61,47
4,2,12,17,34,9,39,63,67
4,7,4,14,14,44,20,65,46
0,2,6,18,14,18,2,31,66
2,2,22,27,28,52,55,41,53
3,9,8,22,12,51,9,47,34
2,4,22,15,16,25,5,53,74
5,2,6,24,7,23,25,19,53
0,8,4,19,17,5,9,28,33
0,8,4,29,34,20,29,69,75
0,7,10,2,38,24,31,31,17
6,6,12,14,32,7,38,44,38
3,21,32,5,14,12,29,29,50
4,6,31,39,21,9,32,48,29
5,5,12,39,37,28,42,22,48
0,11,15,16,23,41,20,73,45
0,11,7,15,37,21,36,55,43
0,12,10,35,38,20,22,34,22
0,4,20,30,30,52,50,9,55
9,4,31,17,34,19,58,61,36
0,3,23,11,34,40,57,9,22
0,13,5,34,73,41,23,62,38
0,0,0,24,19,55,38,47,82
0,0,11,22,14,16,55,51,52
4,6,9,2,27,18,23,73,84
3,10,11,11,19,23,45,43,35
0,12,17,16,32,24,25,24,59
11,11,4,33,10,23,29,37,68
31,3,3,29,16,37,42,34,34
5,7,6,12,22,21,10,56,23
0,0,3,38,10,51,28,50,79
0,1,14,12,26,24,66,18,42
0,7,18,21,13,67,36,54,77
0,8,17,14,24,43,32,10,46
0,0,21,10,25,27,19,29,50
0,4,4,5,21,58,32,38,112
19,5,23,11,12,16,32,19,51
13,13,21,26,37,14,44,33,8
0,0,9,16,42,22,26,46,51
0,8,27,23,69,67,19,56,51
0,14,49,38,38,26,57,66,19
0,3,35,3,15,24,48,18,62
0,14,2,15,21,37,45,24,58
0,11,5,19,6,5,20,66,38
5,5,19,38,5,24,33,6,28
0,15,13,15,47,67,31,24,24
0,5,7,40,36,18,29,21,57
13,24,11,21,10,32,54,41,17
5,3,13,6,18,28,81,22,12
0,4,9,25,32,15,13,80,75
0,3,18,24,23,44,19,60,42
0,10,5,31,10,47,15,53,47
0,0,12,20,15,28,31,34,44
7,7,7,23,23,40,36,25,41
0,16,10,34,32,24,31,20,22
0,9,2,32,37,25,39,26,47
12,8,33,13,14,22,35,38,32
0,9,16,24,20,18,17,19,59
14,4,37,28,26,28,58,34,36
0,2,24,6,27,67,32,49,43
0,15,1,11,38,40,40,41,12
0,3,11,22,13,39,28,21,46
7,1,5,27,17,2,58,5,41
0,0,15,6,15,32,48,72,71
0,0,11,11,33,17,33,31,60
7,17,21,10,37,3,20,41,60
9,11,9,5,10,18,21,73,46
0,3,2,15,14,35,12,27,43
16,16,17,34,30,21,48,25,23
13,13,8,19,26,56,55,73,29
0,4,12,14,33,19,39,9,49
0,23,2,29,21,26,30,8,49
0,10,6,48,36,64,22,18,45
0,1,8,2,36,15,10,84,12
5,14,14,11,69,6,40,24,7
1,6,24,2,44,17,58,14,40
4,16,3,31,28,32,70,45,52
6,13,8,29,25,30,27,27,64
4,8,3,20,3,21,15,40,55
3,11,12,7,47,19,28,34,39
19,25,20,15,59,29,6,12,21
0,8,4,14,19,15,68,28,37
2,2,28,10,30,20,36,34,46
8,7,14,7,3,39,51,59,40
0,6,5,4,8,38,41,40,65
1,1,35,18,9,22,46,35,46
0,1,26,5,20,56,57,62,49
0,10,4,10,15,10,26,10,77
12,9,17,5,56,24,24,56,76
2,2,19,8,56,5,14,11,28
0,20,15,5,26,26,44,15,48
0,4,18,25,5,32,48,40,18
0,7,9,4,11,46,22,43,42
6,25,18,2,30,17,47,27,45
13,9,4,4,25,45,5,72,25
8,2,2,13,26,21,42,60,17
0,3,16,3,49,28,44,42,65
0,3,24,4,31,26,26,73,41
6,5,16,26,4,21,54,16,22
4,16,15,9,25,35,25,67,60
3,14,17,17,17,14,73,38,28
0,12,21,5,30,24,50,47,30
0,4,28,18,20,35,72,36,12
4,2,9,16,27,24,56,29,24
14,13,13,7,60,36,23,35,43
0,16,5,32,38,57,10,11,71
2,12,51,51,13,43,70,43,56
3,1,7,10,46,18,60,24,54
3,13,8,17,7,56,51,20,85
10,7,23,6,27,19,78,28,57
0,7,12,28,32,10,34,17,61
0,4,12,26,9,42,44,33,28
25,10,33,7,8,31,62,33,41
2,2,26,27,27,18,6,26,39
4,7,12,8,21,50,11,34,42
1,23,24,27,23,16,49,41,31
2,1,7,19,11,3,82,37,31
17,9,21,12,20,9,40,78,23
7,7,18,9,30,59,31,31,47
2,2,11,10,37,22,66,20,41
0,9,25,8,10,33,14,35,65
5,19,5,24,14,7,76,57,35
0,16,9,10,36,40,20,40,76
17,12,23,37,34,37,47,82,40
3,5,2,27,24,91,45,69,36
0,30,16,37,50,15,52,10,41
5,7,25,13,12,38,19,42,37
1,15,5,30,17,22,46,13,56
0,19,7,7,7,20,3,26,34
0,6,4,27,38,64,93,34,30
4,6,7,24,23,11,51,24,54
0,0,53,2,33,38,39,20,50
0,4,56,22,46,9,65,23,35
2,8,23,6,7,34,33,42,47
0,0,24,10,28,11,28,74,18
9,11,32,10,56,10,83,34,68
4,12,7,15,7,71,53,25,24
0,4,3,3,34,29,22,9,24
0,9,5,8,40,24,22,22,56
0,6,6,52,6,35,31,19,40
4,5,14,24,52,26,25,33,9
0,20,20,2,27,35,25,51,63
1,30,11,17,5,25,14,2,50
0,10,25,2,10,16,25,12,21
0,0,12,17,17,27,22,40,31
1,10,2,8,23,24,49,38,34
12,6,2,24,23,17,44,46,9
0,6,21,21,25,10,57,80,42
0,11,11,7,34,45,50,47,39
8,5,5,35,23,19,64,7,35
0,12,7,19,19,25,34,28,16
19,19,1,15,4,18,28,54,12
5,3,21,41,26,18,13,59,64
4,8,8,24,6,66,21,25,53
8,12,29,40,8,14,39,50,22
0,7,27,31,35,8,43,38,25
3,8,25,9,39,26,25,62,58
0,16,16,34,64,16,45,36,22
0,3,21,17,38,28,67,47,33
13,8,3,6,36,25,28,53,54
4,13,14,12,54,37,33,39,38
10,4,7,45,27,17,40,57,20
0,8,23,28,12,33,47,36,41
14,18,15,13,17,22,54,24,38
5,8,38,21,25,41,44,79,41
10,5,26,61,27,29,48,29,48
0,4,5,36,48,11,35,27,42
0,11,5,11,27,9,45,23,18
0,0,8,30,37,14,38,51,24
3,15,7,28,64,39,14,38,24
4,22,1,5,33,29,47,12,44
7,12,21,13,21,19,49,18,60
9,5,20,15,15,13,23,41,62
0,18,5,24,14,40,36,11,22
0,16,14,2,18,20,37,86,49
5,6,29,20,17,52,45,28,39
19,1,39,35,44,5,48,41,28
8,9,3,37,21,11,31,8,22
0,30,44,16,27,33,50,52,53
3,6,6,25,23,27,6,23,38
5,8,8,11,22,34,32,29,32
5,14,27,18,17,42,18,39,43
0,15,16,41,16,40,39,54,37
15,2,29,33,22,41,41,25,53
2,3,21,10,32,14,24,39,40
0,2,3,22,18,23,19,75,43
0,19,23,2,25,31,58,27,35
0,2,12,7,48,52,35,28,46
3,7,8,22,33,15,45,23,54
0,8,2,27,50,26,24,12,32
0,6,15,12,22,13,13,27,9
3,4,15,30,9,21,34,35,33
