"A","B","C","D","E","F","G","H","I"
13,18,11,20,17,55,28,7,67
8,9,12,36,23,11,72,44,49
0,0,19,16,55,31,46,58,84
7,7,22,9,17,45,12,56,74
3,29,4,6,50,49,31,44,48
2,14,1,16,44,2,50,33,85
9,11,21,21,106,48,67,40,116
23,16,2,21,5,47,27,38,26
5,7,24,27,20,25,18,43,74
24,8,16,37,78,27,37,43,62
4,3,30,35,19,24,14,26,38
2,9,33,8,16,54,71,52,56
4,10,17,13,10,26,73,43,67
9,17,17,57,37,61,44,30,42
7,7,20,46,28,26,75,30,56
2,9,13,30,24,35,10,22,20
5,5,6,7,30,47,12,63,63
6,3,2,35,41,46,16,67,93
6,20,47,23,12,81,40,9,60
8,23,24,8,45,30,35,35,67
5,5,47,29,10,54,68,46,29
0,10,5,20,24,70,71,89,27
2,2,25,51,18,21,108,42,59
0,12,4,33,28,4,9,29,56
2,15,23,44,33,54,41,42,32
5,10,17,17,17,68,54,12,52
0,1,18,40,24,37,22,31,64
2,18,26,15,26,17,39,63,84
17,17,1,18,21,44,69,52,82
0,25,14,12,38,98,10,71,68
0,6,28,29,21,36,25,62,41
2,2,33,25,10,23,63,30,43
0,0,24,33,38,56,50,54,63
2,35,9,24,49,31,35,25,62
0,12,12,5,2,40,63,68,63
0,1,27,11,67,78,58,24,61
17,16,24,20,17,92,47,40,19
0,3,15,19,72,15,73,67,49
0,0,56,16,27,50,57,40,89
0,2,16,47,15,25,70,72,39
0,11,26,45,3,30,53,43,40
8,8,45,15,3,53,66,69,32
0,7,28,49,40,69,75,31,79
0,14,12,45,51,31,13,93,57
7,5,19,52,35,25,85,46,48
0,7,38,18,22,45,45,30,38
5,4,14,31,16,62,43,25,15
0,13,10,10,67,11,65,67,49
14,9,9,28,41,43,51,30,80
25,18,28,32,57,27,47,81,78
5,12,15,20,15,42,67,67,76
26,2,7,14,47,20,57,46,21
11,15,34,22,40,28,56,48,50
0,30,4,4,30,80,68,83,50
14,10,26,31,12,27,80,56,50
2,3,11,25,34,22,29,10,64
5,7,7,26,15,29,47,39,50
7,7,34,41,47,73,20,42,60
9,8,36,10,34,21,62,52,16
0,0,3,44,24,25,135,14,91
2,15,8,23,20,34,46,27,53
14,29,40,41,11,22,58,80,52
7,7,20,46,37,36,26,123,90
2,2,19,20,3,36,25,44,32
17,7,16,1,42,26,107,26,6
4,4,18,22,28,34,79,63,42
0,3,2,11,26,14,34,29,72
1,1,2,46,32,17,14,30,27
12,46,27,25,52,24,84,38,76
0,6,27,38,33,23,49,60,53
10,11,37,53,32,40,86,21,36
8,2,18,22,17,34,2,18,21
0,45,29,27,22,52,49,89,36
17,12,32,5,52,33,39,42,109
12,14,7,40,42,74,12,4,98
0,5,1,20,64,20,49,41,69
7,11,1,4,39,30,73,49,55
8,9,23,13,22,61,28,51,56
4,4,4,45,28,52,75,19,15
31,31,11,12,11,63,73,69,68
4,2,21,39,23,93,2,30,33
11,3,20,25,28,67,18,33,58
0,10,22,60,20,9,33,21,63
0,3,6,17,7,20,19,25,51
0,10,2,18,49,22,64,90,31
4,4,23,28,52,22,46,24,123
4,6,11,28,29,59,79,11,66
0,18,18,25,57,41,24,43,89
0,19,23,36,28,14,34,34,67
0,11,11,2,6,54,94,41,45
6,11,8,30,49,24,30,17,41
0,13,18,17,41,17,88,56,44
0,0,30,26,29,29,38,33,59
9,3,8,28,59,53,39,82,49
3,3,13,33,35,18,20,39,44
11,32,38,9,39,57,47,81,91
10,22,16,37,25,32,43,9,75
0,31,26,17,33,82,67,59,52
1,6,6,29,62,30,42,66,61
7,4,17,28,20,28,42,15,59
0,0,44,26,47,61,54,33,48
4,19,14,52,60,70,61,45,18
0,11,11,6,29,37,52,33,30
5,12,19,82,39,27,29,28,58
0,9,31,4,26,12,30,83,54
11,6,11,37,47,68,21,46,62
0,22,26,61,17,39,24,60,44
0,0,6,29,14,37,38,59,21
11,13,8,30,14,10,65,32,66
8,3,17,14,51,22,31,39,78
3,10,34,14,35,64,32,112,29
0,4,35,15,54,26,53,53,32
11,2,5,38,39,50,77,60,46
0,17,6,8,52,19,13,78,47
0,11,9,4,31,51,18,32,51
0,1,5,34,35,34,60,72,28
5,5,3,38,37,40,44,72,102
0,0,24,13,8,112,54,18,60
4,39,34,8,16,19,54,36,65
0,5,6,30,24,21,83,65,95
7,8,6,21,17,80,44,75,69
8,22,26,47,18,52,52,77,65
2,32,46,52,25,37,34,74,26
0,1,8,58,32,25,49,69,52
15,14,20,15,65,6,57,58,80
11,5,19,32,44,49,30,60,66
19,9,25,18,27,29,61,43,54
4,3,32,32,64,28,39,66,85
7,15,5,59,38,30,43,80,13
4,9,6,28,21,46,48,63,70
4,34,41,41,14,24,51,49,37
20,46,52,46,11,29,25,88,30
19,19,41,27,12,49,14,29,45
0,16,8,17,40,30,84,62,91
17,13,8,32,57,43,30,26,41
0,0,9,22,30,23,41,18,64
14,16,46,41,9,96,54,33,36
0,5,12,25,67,85,5,13,5
8,8,8,27,27,63,49,74,36
0,18,28,30,13,67,24,79,61
7,16,4,79,15,15,54,65,44
0,0,20,10,9,27,42,58,32
5,21,12,21,35,11,61,76,68
19,21,6,11,43,82,43,50,63
2,19,16,34,26,41,59,31,62
0,19,7,37,8,44,50,66,36
7,6,5,19,24,47,64,6,33
5,16,8,62,4,39,45,64,75
0,12,7,22,29,61,41,81,81
1,4,29,50,31,40,18,61,71
1,18,27,39,42,90,47,32,59
0,12,4,67,18,72,45,71,65
0,4,6,41,26,34,60,61,42
5,14,24,44,91,6,24,52,20
10,3,3,9,5,62,43,24,96
5,7,34,22,41,14,58,20,45
0,6,12,32,21,56,30,36,50
0,6,24,13,25,49,97,39,74
0,25,49,12,26,40,40,51,117
4,4,4,12,31,40,12,113,27
16,14,41,6,12,32,90,44,47
5,22,30,11,80,57,24,46,32
26,10,16,12,21,31,39,39,51
4,1,17,5,30,5,27,128,99
1,6,13,29,26,31,45,54,64
5,12,19,19,26,10,76,45,31
0,12,8,3,34,35,52,81,23
12,8,8,20,32,26,47,59,87
0,20,13,21,6,32,68,49,43
26,14,17,31,41,55,40,64,105
6,34,15,6,30,56,78,68,56
9,9,10,26,15,40,38,11,52
1,14,54,18,11,13,32,13,14
0,3,18,19,2,30,92,79,42
0,7,11,44,32,33,56,34,23
4,12,37,28,25,73,78,51,59
0,0,25,54,40,41,23,57,51
10,24,28,61,24,12,114,34,72
0,28,4,21,32,26,49,45,30
5,3,3,14,20,48,79,42,21
16,11,29,23,22,27,66,75,39
4,20,39,29,14,62,22,52,74
9,4,26,28,40,28,26,60,38
0,2,24,37,31,43,4,33,54
0,16,30,15,32,7,46,89,70
1,16,21,18,22,40,67,60,37
0,35,14,12,17,43,15,31,83
0,17,40,14,38,20,52,48,106
11,11,11,55,47,40,37,46,64
0,16,10,7,12,10,56,26,32
2,5,13,11,22,52,59,30,39
2,32,10,3,19,21,15,46,46
6,5,51,18,29,47,50,51,36
0,28,8,9,34,28,52,56,52
4,8,17,5,53,14,25,63,45
7,4,4,5,39,29,48,18,27
0,8,22,36,29,29,37,56,67
2,30,21,17,22,50,31,41,37
0,1,5,28,114,60,20,30,71
2,10,21,12,30,30,39,66,59
0,2,15,67,12,10,8,92,56
0,2,7,23,27,70,30,22,100
0,15,49,12,33,97,79,10,72
5,1,46,40,30,46,37,25,92
0,20,16,53,19,20,28,40,39
15,25,5,56,14,78,71,27,58
5,1,1,50,37,69,83,42,44
2,31,9,26,25,30,22,73,41
10,19,18,19,28,41,25,53,39
8,15,35,13,41,57,71,27,54
8,15,44,45,30,22,40,77,42
17,10,8,6,51,36,70,36,12
8,6,11,53,15,25,35,40,54
0,16,26,19,44,8,37,46,38
10,3,13,29,36,65,57,33,44
0,27,32,37,20,6,46,27,38
5,12,27,15,40,83,14,75,17
4,4,3,1,21,4,52,31,85
3,10,3,12,17,60,58,23,120
9,9,16,28,52,36,69,102,122
5,27,23,23,23,51,65,64,91
3,40,32,13,17,31,43,21,15
0,6,5,20,41,22,55,29,45
7,13,34,27,4,35,16,41,129
18,2,11,23,37,23,23,16,59
3,10,11,37,24,48,45,33,45
0,0,3,73,22,30,41,66,71
1,8,16,18,18,10,56,37,69
0,9,17,12,90,44,46,35,59
8,6,25,45,34,40,58,63,51
3,1,37,38,31,16,6,35,21
0,10,10,11,24,51,33,66,93
0,13,31,9,14,47,20,50,83
7,22,32,37,26,46,16,15,52
0,0,0,26,18,32,37,69,66
12,5,8,8,36,37,26,30,83
0,4,2,26,60,67,64,53,67
4,1,19,35,17,27,50,50,40
1,10,11,15,28,28,44,64,59
7,7,3,42,37,32,54,25,43
2,10,20,51,10,5,57,70,13
6,4,25,2,9,22,38,38,48
8,18,9,29,62,7,50,59,73
0,3,17,2,37,37,60,31,41
14,8,14,41,19,16,41,28,34
0,13,7,36,17,14,49,46,60
0,7,23,39,31,63,73,58,49
4,7,2,11,65,107,14,40,113
9,21,10,39,41,33,43,26,8
0,0,16,3,25,37,40,32,61
0,7,50,15,82,65,40,60,31
9,19,12,28,19,36,63,21,28
2,5,23,18,30,24,27,29,43
5,9,18,47,8,112,30,56,80
0,4,7,34,19,42,16,18,30
0,2,24,62,48,29,92,36,55
33,10,16,30,37,10,58,70,40
0,11,9,23,42,41,79,59,44
17,26,23,40,20,38,9,79,52
0,30,14,14,34,50,62,46,60
0,12,28,59,51,61,73,49,92
0,16,15,17,49,20,27,41,43
0,14,5,30,50,27,24,42,52
0,24,24,22,19,82,57,63,52
0,20,12,37,22,12,59,21,72
4,7,14,27,28,33,90,32,86
0,5,42,4,47,46,56,34,75
0,20,22,12,30,30,35,20,51
0,4,56,6,23,14,39,72,51
2,32,9,26,10,72,61,36,39
14,27,19,20,15,12,35,30,27
5,2,3,39,11,54,45,58,83
9,25,26,20,56,62,77,47,49
11,11,11,15,53,69,30,10,54
8,3,16,26,25,64,42,39,81
15,24,19,1,83,56,84,16,54
6,10,10,36,14,29,20,52,61
0,25,9,23,45,30,47,66,63
6,6,4,24,36,34,65,52,81
8,17,6,23,55,26,46,31,21
9,11,23,33,12,19,79,75,34
5,7,10,13,54,58,42,13,86
2,25,23,23,44,13,64,47,102
4,7,4,23,34,85,33,23,77
0,22,23,72,48,7,82,34,21
9,9,16,63,45,34,24,119,24
0,2,24,81,53,25,37,78,64
27,8,2,72,20,42,35,75,49
10,7,22,7,50,68,28,43,59
9,13,39,28,31,10,122,40,108
6,6,26,16,27,27,17,53,59
3,9,33,16,26,30,29,64,78
2,4,56,21,23,44,62,39,43
12,17,5,3,1,79,50,88,49
0,24,41,13,26,56,50,15,64
0,3,11,2,31,45,34,13,54
0,16,2,19,7,30,44,59,75
23,8,13,34,92,59,59,44,58
0,7,4,29,21,39,16,27,72
17,15,16,17,5,39,95,68,78
0,1,14,18,29,57,20,45,69
5,13,40,8,17,55,23,37,79
5,9,16,20,19,22,51,62,40
0,3,40,21,31,68,41,13,41
0,41,11,24,25,38,57,37,67
6,9,8,44,36,61,52,16,86
14,14,4,61,39,49,32,32,38
16,5,22,63,24,22,20,21,45
0,24,10,22,57,33,39,31,33
2,2,29,56,24,12,58,48,2
0,13,37,20,20,29,29,35,49
4,8,21,7,47,51,76,52,37
18,18,27,42,29,28,49,44,26
17,17,15,22,32,8,44,66,28
0,2,37,34,17,43,42,93,68
17,3,38,25,31,24,37,65,60
0,4,17,36,35,20,16,30,57
6,5,20,31,38,18,13,70,59
1,26,49,8,32,28,29,94,69
6,6,2,52,45,57,34,28,45
0,10,25,25,6,68,37,14,68
18,30,8,40,10,32,44,34,64
23,7,5,10,65,23,32,75,83
3,15,22,31,4,54,63,5,90
8,4,3,6,32,59,41,75,128
0,13,10,8,4,50,56,30,37
0,7,3,2,74,36,116,55,83
0,30,30,14,13,52,80,22,66
8,8,30,26,64,73,47,71,29
0,21,28,18,14,36,72,50,20
0,0,12,20,39,51,29,84,97
3,20,45,38,52,18,42,32,41
18,15,27,9,34,59,66,46,39
6,18,32,28,28,43,18,57,48
11,20,20,37,15,37,44,46,118
0,0,16,9,16,30,68,74,15
2,2,19,7,38,64,30,52,15
5,25,15,42,23,41,12,24,32
0,8,25,25,62,19,66,30,50
22,5,30,13,47,61,91,73,48
5,16,1,9,77,36,16,50,42
0,3,24,20,22,45,22,62,101
6,10,2,9,20,64,69,114,44
0,9,8,23,20,7,40,63,64
0,15,43,4,50,63,26,26,79
0,22,9,35,8,68,54,89,20
5,12,11,5,8,41,32,37,52
17,18,11,17,38,36,19,35,56
3,6,14,31,28,31,52,68,57
5,5,12,25,40,89,15,53,55
2,2,7,24,33,54,16,55,60
0,0,37,22,40,46,56,54,40
0,10,13,47,21,13,35,107,39
22,3,4,11,9,43,51,18,76
0,20,24,20,16,25,60,79,72
0,10,8,6,38,38,64,30,76
9,5,9,39,25,49,64,49,64
0,14,3,24,13,37,58,82,17
7,7,45,27,24,76,81,47,54
1,12,1,28,35,10,56,25,70
12,13,21,47,12,80,12,69,74
0,5,36,30,32,81,93,74,30
24,8,13,31,5,7,7,72,62
0,16,7,1,58,81,64,22,81
2,2,44,33,39,38,26,45,85
2,10,10,21,4,47,70,99,87
13,22,31,33,54,31,50,69,2
0,4,25,25,45,53,67,43,42
2,2,10,21,42,40,49,32,78
6,12,27,36,42,42,45,34,74
0,0,21,38,43,43,38,24,42
4,10,36,38,9,30,88,49,55
2,2,27,32,25,8,54,32,72
11,16,2,46,35,46,47,57,76
18,7,32,37,23,51,92,39,41
4,21,36,38,18,23,44,34,20
8,5,21,50,31,47,63,33,37
0,25,10,16,14,45,54,74,97
0,26,25,18,30,87,15,41,50
0,7,5,19,41,26,88,97,38
0,28,4,43,12,34,24,89,50
9,35,25,29,19,34,16,87,81
2,2,17,26,20,71,31,57,91
0,19,20,34,38,73,59,32,77
7,18,15,61,42,46,50,81,72
15,6,16,4,46,40,68,36,76
0,1,23,20,41,67,53,44,21
0,5,6,9,10,66,30,43,75
5,16,5,31,20,62,49,60,76
0,4,34,24,10,21,52,34,119
10,13,8,40,38,26,57,49,126
15,6,4,30,51,11,37,49,55
8,2,17,23,6,78,32,45,64
5,1,17,23,23,47,34,72,118
7,16,8,59,48,31,36,52,91
12,28,22,9,13,37,78,10,70
0,3,4,39,30,69,57,42,124
0,5,3,26,51,34,42,52,57
0,9,43,45,50,28,36,24,61
0,14,11,22,74,5,69,55,97
6,3,8,2,14,7,12,50,56
2,8,35,3,18,65,43,44,50
8,8,18,64,28,29,120,52,12
0,4,14,5,42,31,31,49,37
0,25,5,15,28,23,52,36,58
0,5,11,20,19,28,61,68,24
4,20,3,43,57,51,27,73,37
1,5,9,28,31,70,18,30,110
20,6,15,37,25,43,19,79,70
0,1,5,40,30,7,29,74,55
7,17,69,15,28,35,44,31,16
0,7,7,8,63,38,40,90,47
0,6,9,4,30,30,33,34,49
3,8,14,2,59,23,50,68,48
10,22,5,21,26,1,89,33,29
26,7,14,30,11,48,32,42,50
7,4,28,37,19,77,47,56,36
6,13,10,17,26,35,51,58,36
0,15,26,26,23,31,27,66,94
4,6,1,8,36,32,53,38,54
4,4,24,13,29,19,13,106,32
6,20,61,4,38,27,57,58,86
9,9,19,58,29,55,27,51,35
0,26,17,39,42,46,43,21,38
9,25,12,6,7,2,94,75,71
30,19,16,19,33,23,55,65,64
3,17,33,30,17,22,41,47,19
0,0,59,51,34,57,67,42,61
0,0,6,17,40,23,75,37,30
8,16,15,38,33,13,82,20,23
1,15,11,22,27,37,30,89,16
14,6,36,38,31,59,28,28,65
0,0,38,36,49,60,70,66,34
2,5,17,85,52,44,44,40,33
8,5,4,19,39,30,49,75,83
0,23,70,11,51,57,32,56,40
7,12,8,56,1,19,9,43,79
13,1,36,11,39,34,14,33,67
7,12,16,53,19,52,41,25,43
0,7,11,27,38,24,113,40,34
13,5,25,39,26,31,62,50,35
0,6,10,8,50,35,32,25,58
17,22,27,16,33,60,42,58,24
9,17,17,7,32,8,124,66,94
0,15,24,59,43,12,37,22,99
5,7,43,8,24,38,77,30,84
0,3,47,10,26,14,47,74,82
7,31,30,30,21,60,38,53,44
16,16,16,56,32,71,25,19,65
0,11,52,9,23,50,83,74,71
3,3,31,39,27,43,32,38,40
2,4,43,6,43,46,56,23,53
0,9,4,21,2,53,58,15,46
2,1,60,57,32,8,26,23,41
1,24,13,4,5,17,75,15,48
10,35,21,5,40,40,52,37,88
4,21,7,10,7,20,78,64,80
0,5,11,12,16,11,15,121,67
19,10,31,35,39,37,39,17,82
6,4,46,34,4,94,25,25,40
0,1,10,22,31,16,69,92,80
2,11,8,6,10,41,85,72,68
10,6,21,35,8,11,11,50,71
11,31,47,15,4,28,52,51,53
1,1,13,19,41,82,24,120,69
1,5,3,23,33,19,37,34,14
0,24,17,16,78,35,49,33,50
6,8,6,84,24,33,114,32,102
0,0,11,15,57,32,67,59,84
0,15,13,33,24,24,43,60,53
2,25,25,9,33,5,60,29,96
4,21,10,66,23,21,44,15,57
9,16,35,15,11,10,49,46,59
7,5,6,16,13,18,13,48,46
0,0,5,3,63,75,19,50,59
0,6,36,30,23,87,43,88,46
0,12,27,33,38,59,87,66,34
8,8,8,9,3,62,27,14,75
3,8,15,45,26,62,77,78,42
10,9,21,25,72,47,41,99,63
4,8,17,14,69,13,35,9,50
0,5,36,31,42,43,44,48,26
0,0,8,26,31,76,58,53,33
6,3,12,16,57,46,28,50,28
0,10,2,16,46,40,33,44,65
0,0,10,42,51,53,44,19,21
7,5,17,9,24,18,6,30,73
0,0,31,61,49,52,46,89,14
15,15,7,28,17,31,37,48,54
2,24,8,12,33,102,29,120,63
0,15,15,32,60,5,25,36,28
4,69,33,8,24,14,63,42,30
3,12,13,21,53,27,126,100,44
6,16,21,10,40,37,39,21,72
4,9,31,9,158,29,38,53,38
9,16,25,18,8,29,58,52,71
0,43,22,16,21,81,36,15,3
0,39,12,49,35,57,50,100,60
0,2,27,18,66,55,24,38,44
0,15,31,32,31,54,39,38,32
5,6,45,12,37,54,47,32,51
2,2,29,11,12,18,52,77,95
0,2,25,7,31,25,40,26,33
12,11,14,4,55,43,50,29,65
7,18,29,22,30,22,29,28,27
15,2,11,44,44,29,51,7,23
0,14,13,8,9,38,15,45,39
0,7,16,15,37,11,18,67,69
5,2,27,8,16,37,72,68,57
2,2,8,11,25,31,43,71,60
0,9,16,24,38,25,39,81,42
0,5,18,24,5,32,47,34,85
0,16,46,13,22,22,21,39,50
7,4,16,23,31,35,25,91,47
0,15,11,22,13,36,27,36,75
0,0,1,39,55,55,86,23,17
5,5,5,52,9,19,53,78,85
25,3,11,17,39,27,47,66,75
0,13,19,48,64,38,49,59,67
2,4,2,16,7,19,67,108,46
4,9,19,35,21,31,40,53,31
9,9,22,14,63,49,33,25,56
6,7,49,18,54,10,85,58,94
5,22,10,18,22,37,31,37,48
1,1,4,11,36,39,41,33,97
16,6,12,12,18,43,33,31,44
5,11,6,33,32,12,50,59,76
3,15,34,13,8,19,15,24,34
1,5,19,23,35,24,42,42,75
9,2,15,19,12,22,27,44,64
0,11,11,20,49,93,32,83,71
5,4,35,15,10,31,30,63,55
12,23,6,45,20,74,27,52,35
3,14,19,13,27,46,30,13,24
10,11,16,13,12,26,45,51,57
2,8,40,33,28,17,142,57,69
0,10,62,13,36,21,55,46,49
3,20,5,7,8,91,50,56,77
0,6,39,16,59,8,102,29,58
17,24,2,2,21,6,36,31,35
0,17,9,33,24,31,43,61,61
5,2,16,61,32,32,54,56,99
20,20,13,29,44,16,26,55,94
5,13,34,44,7,58,72,32,68
0,0,79,34,28,8,24,31,26
0,6,27,36,35,15,18,38,17
5,23,11,9,43,27,59,32,130
11,5,16,41,10,17,17,31,54
6,10,31,31,16,60,22,61,37
0,0,16,15,7,23,36,78,22
0,3,7,19,51,79,32,27,74
1,17,13,12,36,47,79,36,35
6,24,9,35,41,74,38,57,53
4,10,11,15,34,12,44,56,51
4,15,19,42,26,32,75,38,71
5,11,7,13,41,27,27,37,42
0,9,15,37,66,36,39,25,21
6,3,2,15,37,35,44,62,46
0,4,4,20,8,36,61,94,52
0,5,20,33,23,36,24,68,55
0,6,4,22,35,66,23,39,92
0,17,29,45,58,40,51,64,20
3,1,44,44,51,40,39,44,37
31,4,12,13,23,20,40,70,53
15,19,31,29,46,26,35,55,78
6,10,13,17,17,62,21,8,81
10,15,14,47,70,17,7,38,62
0,4,5,31,33,42,9,71,43
2,7,11,24,40,46,36,45,22
0,14,11,12,17,52,30,111,20
0,17,11,48,57,49,62,82,43
7,7,3,18,27,54,96,79,50
0,21,12,1,40,73,25,87,22
24,8,6,22,20,14,79,39,65
0,4,8,18,38,43,92,52,67
0,7,2,12,51,48,38,87,73
3,3,27,30,28,25,35,55,80
16,16,16,27,55,49,23,28,23
27,9,39,8,45,51,35,23,52
5,14,8,65,25,47,21,68,65
1,8,4,15,40,42,15,81,69
1,1,14,59,20,53,41,18,62
0,2,32,44,34,55,61,19,28
1,3,7,27,8,55,36,24,63
0,13,10,24,42,27,19,56,45
0,7,1,3,50,60,27,119,48
17,14,13,10,45,11,45,35,47
4,18,20,37,25,55,25,57,45
9,35,27,13,57,35,66,87,53
0,5,8,36,23,10,20,63,43
0,0,19,16,55,33,75,20,56
2,7,30,22,54,31,4,79,46
5,5,9,16,36,36,56,65,40
10,41,21,43,10,28,32,49,55
0,16,13,21,22,101,30,75,106
0,3,7,7,25,60,61,63,117
0,56,16,49,53,10,45,21,64
8,5,11,29,8,76,71,47,52
7,5,12,33,17,39,40,77,29
6,7,6,26,22,35,25,48,36
0,27,59,28,40,68,27,27,25
0,0,0,8,16,45,90,14,47
2,14,44,6,22,50,34,78,25
2,17,21,18,59,6,30,37,29
4,8,23,17,52,11,54,41,49
4,12,8,39,15,64,24,37,59
11,16,26,27,31,14,13,54,39
0,12,15,54,20,45,60,61,50
15,16,5,15,57,44,62,43,78
11,6,55,16,45,40,23,35,15
4,13,10,29,33,26,38,74,61
12,2,5,38,29,32,51,32,58
8,30,10,16,56,29,47,79,25
0,17,16,27,18,35,65,92,104
0,17,11,18,57,46,41,11,57
1,7,4,8,19,72,29,26,66
0,4,14,25,34,70,79,105,40
0,23,11,29,33,32,17,31,58
20,7,33,23,58,15,24,73,11
1,1,17,49,43,24,28,47,46
17,10,59,61,36,53,39,70,18
0,14,10,79,23,30,47,45,80
0,7,7,14,49,96,29,17,105
5,7,27,5,28,47,26,26,15
15,12,18,9,44,52,64,35,85
0,34,32,11,46,39,22,55,86
1,4,38,30,39,31,65,68,75
0,17,3,34,33,23,54,91,77
1,4,28,31,54,80,62,51,73
20,20,17,24,26,39,16,47,62
22,12,35,67,33,38,66,39,53
7,32,13,15,14,16,33,79,61
0,16,14,17,49,50,18,42,71
20,12,25,44,35,4,40,32,71
0,15,8,8,26,32,34,30,29
0,23,23,17,41,3,61,34,134
0,5,22,56,51,53,62,16,31
0,13,10,28,40,40,73,51,113
0,15,21,11,25,24,48,44,56
3,2,9,30,12,38,53,53,78
2,25,12,39,43,10,54,29,29
4,9,14,9,65,18,67,61,67
0,13,11,27,16,56,13,37,80
16,5,4,38,7,95,44,61,48
0,0,6,11,25,52,47,30,64
0,8,23,7,60,44,48,61,32
0,16,21,13,14,36,39,65,66
0,5,15,11,36,36,55,36,49
0,18,4,42,24,38,64,80,43
6,6,21,22,33,38,66,34,52
0,34,19,15,51,16,56,26,38
12,1,6,5,47,20,48,57,39
0,6,11,37,21,79,38,93,60
1,9,27,32,34,14,31,100,63
13,3,38,27,84,13,40,61,48
0,0,11,11,36,63,44,50,8
16,14,41,27,41,51,20,68,27
27,4,46,19,28,47,63,53,67
4,19,13,16,26,63,13,83,65
2,8,39,38,29,45,47,36,49
13,1,51,5,39,38,25,66,80
0,6,26,23,32,69,40,52,23
