"A","B","C","D","E","F","G","H","I"
8,0,11,6,20,34,31,61,55
0,16,33,42,25,29,38,66,37
0,16,18,54,26,19,16,65,112
11,5,20,3,18,63,74,55,39
3,6,30,14,43,27,76,48,93
0,32,27,9,45,32,67,39,46
0,21,12,23,20,20,20,99,36
13,15,8,24,37,61,38,39,41
29,7,17,30,17,53,61,55,91
9,3,17,37,30,28,86,52,34
3,0,25,23,38,37,53,52,55
22,8,31,32,57,98,47,40,62
2,9,13,41,29,43,48,81,100
7,8,33,35,38,53,47,58,35
8,11,7,20,56,46,40,32,46
0,1,28,34,48,40,36,33,28
29,13,21,20,28,14,15,73,68
10,29,6,8,37,18,62,44,36
18,21,20,16,41,27,45,29,73
0,7,24,35,42,31,34,78,58
11,14,37,45,28,57,27,39,68
7,2,15,19,16,21,17,39,76
0,13,6,21,69,26,47,33,70
19,6,26,34,30,44,58,54,82
0,9,7,29,23,33,25,40,29
0,11,19,13,20,68,59,54,44
0,6,11,32,25,48,56,85,59
0,15,13,34,21,50,98,34,62
4,0,18,25,46,46,25,57,68
6,21,1,42,39,23,33,24,52
0,10,26,36,51,41,38,56,40
3,2,26,54,41,40,30,29,45
8,13,8,49,48,22,74,40,63
9,1,14,20,41,33,29,70,39
0,13,37,15,35,45,61,43,60
2,0,29,42,23,64,28,31,44
17,40,25,41,50,72,18,62,79
9,4,2,14,40,28,76,25,37
7,0,7,29,35,42,50,30,48
6,5,30,24,25,60,66,76,63
5,7,9,36,57,39,16,19,20
19,19,8,30,28,49,40,34,37
0,11,19,47,43,29,32,66,84
8,22,24,18,11,41,42,56,37
0,15,20,15,59,47,44,40,53
13,2,4,26,30,38,36,39,28
14,15,13,13,14,14,29,44,70
15,5,47,44,21,19,24,64,44
6,14,24,21,44,85,54,28,50
0,4,26,24,24,40,53,48,63
0,24,6,33,8,37,73,40,42
32,16,13,8,22,41,52,33,71
3,10,27,6,5,24,24,39,34
0,8,5,45,59,41,40,33,66
0,4,7,31,30,59,77,34,73
6,8,14,11,26,35,74,25,34
1,19,4,6,26,54,60,45,94
5,19,21,45,39,17,35,57,29
2,19,16,30,28,9,23,32,50
0,17,44,3,57,40,35,46,75
16,8,6,47,43,22,59,41,30
